id,country,ctz,descent,birthyr,gender,education,ipnews,vncnnews,vnusnews,cnusnews,tv,radio,internet,print,ppl,bri,interrelate,govtrust,vnbenefit,allbenefit,chinabenefit,supportbri,age
1,Viet Nam,Vietnamese,Vietnamese,1993,0,5,1,1,1,1,4,2,1,5,3,1,4,2,3,2,4,3,25
2,US,Vietnamese,Vietnamese,1996,0,3,5,0,0,3,4,5,1,2,3,1,5,2,2,2,4,3,22
3,US,Chinese,Chinese,1990,1,5,7,1,0,5,2,3,1,5,4,1,4,3,4,4,5,4,28
4,US,Vietnamese,Vietnamese,1991,1,6,8,3,2,5,2,5,1,4,3,1,5,4,2,2,4,3,27
5,Viet Nam,Vietnamese,Vietnamese,1995,0,5,30,12,16,16,2,5,1,4,3,1,2,3,3,2,3,3,23
6,Viet Nam,Vietnamese,Vietnamese,1991,0,5,1,2,1,1,3,5,1,4,2,1,2,2,3,2,4,3,27
7,Viet Nam,Vietnamese,Vietnamese,1992,0,6,30,8,4,4,3,5,1,2,4,0,4,3,3,3,4,3,26
8,Viet Nam,Vietnamese,Vietnamese,1994,1,5,10,10,10,5,2,3,1,5,4,0,5,3,3,3,5,3,24
9,Viet Nam,Vietnamese,Vietnamese,1991,0,5,1,1,1,1,2,3,1,5,4,1,4,4,3,3,3,3,27
10,Viet Nam,Vietnamese,Vietnamese,1991,0,6,1,0,1,1,1,5,2,3,4,1,4,3,3,3,4,3,27
11,Viet Nam,Vietnamese,Vietnamese,1991,1,6,2,0,0,0,1,4,2,5,3,1,5,3,5,5,2,5,27
12,Viet Nam,Vietnamese,Vietnamese,1991,0,6,1,1,1,1,1,2,3,4,5,1,3,3,3,3,3,3,27
13,US,US,Chinese,1997,1,3,5,1,0,1,5,1,2,3,4,1,4,4,3,4,4,4,21
14,US,Vietnamese,Vietnamese,1991,0,5,3,1,5,0,1,2,3,4,5,1,4,2,2,3,5,3,27
15,US,Chinese,Chinese,1998,0,5,4,0,0,2,5,3,1,4,2,1,5,4,4,3,3,3,20
16,Viet Nam,Vietnamese,Vietnamese,1991,0,6,30,3,5,2,4,5,1,3,2,1,4,4,3,3,2,2,27
17,US,Chinese,Chinese,1993,1,5,2,1,0,5,5,1,2,4,3,1,5,3,4,4,4,3,25
18,US,Chinese,Chinese,1994,1,6,5,0,0,3,4,5,2,3,1,1,3,1,4,3,2,2,24
19,Viet Nam,Vietnamese,Vietnamese,1993,0,5,2,1,1,1,1,5,2,4,3,0,4,3,4,4,4,3,25
20,Viet Nam,Vietnamese,Vietnamese,1997,0,5,3,0,0,0,2,5,1,4,3,1,4,1,3,3,4,3,21
21,US,US,Vietnamese,1997,0,2,10,2,1,6,2,5,1,4,3,1,3,2,4,4,5,3,21
22,US,Vietnamese,Vietnamese,1999,1,4,30,2,0,10,3,4,1,5,2,0,4,4,2,3,4,2,19
28,US,US,Vietnamese,1996,0,6,2,0,0,10,2,4,1,5,3,1,5,2,3,3,4,3,22
29,US,Vietnamese,Vietnamese,2000,1,3,30,30,0,15,2,4,1,5,3,1,4,4,3,2,5,3,18
30,US,US,Vietnamese,1988,1,6,5,0,0,2,4,5,1,2,3,1,3,2,3,4,4,3,30
31,US,Vietnamese,Vietnamese,1985,0,7,0,0,0,0,1,2,3,4,5,1,3,2,3,4,3,3,33
32,US,Vietnamese,Vietnamese,1984,1,5,50,1,1,20,2,4,1,5,3,1,4,3,3,3,5,3,34
33,US,Vietnamese,Vietnamese,1990,0,6,30,10,20,20,3,4,1,2,5,1,4,3,4,3,3,3,28
36,US,Vietnamese,Vietnamese,1983,0,6,5,0,1,2,1,3,2,4,5,1,3,2,3,3,3,3,35
37,US,99,Vietnamese,1980,0,5,1,5,0,1,2,4,1,5,3,0,4,4,3,3,3,3,38
38,US,Vietnamese,Vietnamese,1987,0,7,0,0,0,0,4,3,1,5,2,1,2,3,3,3,3,3,31
40,US,US,Vietnamese,1989,1,6,1,1,1,0,4,2,1,5,3,1,4,3,2,2,4,3,29
42,Viet Nam,Vietnamese,Vietnamese,1994,1,5,0,3,0,0,2,4,1,5,3,1,5,4,2,1,5,1,24
43,US,US,Vietnamese,1994,1,5,30,0,0,10,3,4,1,5,2,1,5,1,4,4,5,5,24
46,US,Vietnamese,Vietnamese,1987,0,6,5,2,1,3,5,4,1,3,2,0,4,4,2,3,5,3,31
47,Viet Nam,Vietnamese,Vietnamese,1994,0,6,4,5,0,4,3,4,1,5,2,0,4,2,3,2,5,2,24
48,Viet Nam,Vietnamese,Vietnamese,1994,0,5,10,3,2,1,3,2,1,5,4,0,3,3,2,2,5,2,24
49,US,Vietnamese,Vietnamese,1993,1,5,10,3,0,8,5,3,1,4,2,0,2,3,4,3,1,4,25
50,Viet Nam,Vietnamese,Vietnamese,1990,1,5,1,1,1,1,1,2,3,4,5,0,3,3,3,3,3,3,28
51,Viet Nam,Vietnamese,Vietnamese,1991,0,5,1,0,0,0,4,5,1,2,3,1,2,4,1,3,4,3,27
52,US,Vietnamese,Vietnamese,1997,0,5,2,4,4,4,4,5,1,3,2,0,3,4,4,3,4,3,21
53,US,Vietnamese,Vietnamese,1997,0,2,0,0,0,0,4,5,1,3,2,0,3,4,4,4,2,4,21
55,US,Vietnamese,Vietnamese,2000,1,2,5,2,3,2,4,5,1,3,2,0,4,3,3,3,5,3,18
56,US,Vietnamese,Vietnamese,1999,1,2,3,1,2,3,4,5,1,3,2,0,2,3,3,3,3,3,19
57,US,Chinese,Chinese,1982,0,5,2,0,0,0,4,5,2,3,1,0,3,4,4,4,4,4,36
58,US,Vietnamese,Vietnamese,1997,0,5,0,1,0,2,3,5,1,4,2,0,3,2,2,4,4,3,21
60,Viet Nam,Vietnamese,Vietnamese,1998,1,5,7,0,0,0,1,2,4,3,5,0,3,1,3,3,3,3,20
61,US,Vietnamese,Vietnamese,1996,1,3,7,3,7,3,2,5,1,4,3,1,1,1,1,1,1,2,22
62,Viet Nam,Vietnamese,Vietnamese,1996,1,5,8,2,4,4,2,5,1,4,3,1,4,3,3,3,4,3,22
63,US,Vietnamese,Vietnamese,1981,1,6,5,0,0,4,1,5,2,4,3,1,5,1,3,4,4,3,37
64,US,US,Vietnamese,1986,0,5,15,0,0,1,2,4,1,3,5,0,4,2,3,3,3,3,32
65,US,Vietnamese,Vietnamese,1994,0,6,5,5,5,5,3,4,1,2,5,0,1,4,4,4,2,4,24
66,US,US,Vietnamese,1995,0,5,40,0,0,10,4,5,1,3,2,0,5,4,2,2,5,3,23
